provider,corridor,date,fee_php,effective_exchange_rate,weekday,weekday_number,is_holiday,is_promo,is_payday,effective_cost_php_15000
Remitly,AE-PH,2023-01-28,169.38,15.693138,Saturday,5,0,0,0,367.11
WorldRemit,AE-PH,2023-01-28,158.09,15.651765,Saturday,5,0,0,0,395.98
Wise,AE-PH,2023-01-29,156.99,15.657625,Sunday,6,0,0,1,389.19
Remitly,AE-PH,2023-01-29,173.64,15.63663,Sunday,6,0,0,1,426.29
WorldRemit,AE-PH,2023-01-29,175.73,15.614172,Sunday,6,0,0,1,450.32
Wise,AE-PH,2023-01-30,164.15,15.670352,Monday,0,0,0,1,383.98
Remitly,AE-PH,2023-01-30,167.63,15.669982,Monday,0,0,0,1,387.81
WorldRemit,AE-PH,2023-01-30,169.75,15.614332,Monday,0,0,0,1,444.17
Wise,AE-PH,2023-01-31,159.06,15.686379,Tuesday,1,0,0,1,363.33
Remitly,AE-PH,2023-01-31,152.4,15.699404,Tuesday,1,0,0,1,344.06
WorldRemit,AE-PH,2023-01-31,157.08,15.648649,Tuesday,1,0,0,1,398.02
Wise,AE-PH,2023-02-01,130.58,15.764039,Wednesday,2,0,0,0,259.95
Remitly,AE-PH,2023-02-01,147.51,15.720598,Wednesday,2,0,0,0,318.68
WorldRemit,AE-PH,2023-02-01,125.18,15.732328,Wednesday,2,0,0,0,285.05
Wise,AE-PH,2023-02-02,114.83,15.78583,Thursday,3,0,0,0,223.31
Remitly,AE-PH,2023-02-02,155.29,15.688316,Thursday,3,0,0,0,357.69
WorldRemit,AE-PH,2023-02-02,140.02,15.67196,Thursday,3,0,0,0,358.29
Wise,AE-PH,2023-02-03,125.97,15.756024,Friday,4,0,0,0,263.04
Remitly,AE-PH,2023-02-03,163.08,15.688619,Friday,4,0,0,0,365.18
WorldRemit,AE-PH,2023-02-03,152.32,15.659873,Friday,4,0,0,0,382.33
Wise,AE-PH,2023-02-04,137.45,15.740153,Saturday,5,0,0,0,289.78
Remitly,AE-PH,2023-02-04,161.37,15.689512,Saturday,5,0,0,0,362.61
WorldRemit,AE-PH,2023-02-04,158.77,15.642281,Saturday,5,0,0,0,405.9
Wise,AE-PH,2023-02-05,148.6,15.726921,Sunday,6,0,0,0,313.68
Remitly,AE-PH,2023-02-05,157.03,15.689971,Sunday,6,0,0,0,357.82
WorldRemit,AE-PH,2023-02-05,158.49,15.661195,Sunday,6,0,0,0,387.21
Wise,AE-PH,2023-02-06,150.54,15.714616,Monday,0,0,0,0,327.49
Remitly,AE-PH,2023-02-06,124.23,15.774169,Monday,0,0,1,0,243.88
WorldRemit,AE-PH,2023-02-06,155.25,15.65984,Monday,0,0,0,0,385.29
Wise,AE-PH,2023-02-07,141.22,15.723506,Tuesday,1,0,0,0,309.6
Remitly,AE-PH,2023-02-07,98.81,15.792162,Tuesday,1,0,1,0,201.24
WorldRemit,AE-PH,2023-02-07,109.58,15.737636,Tuesday,1,0,1,0,264.34
Wise,AE-PH,2023-02-08,101.32,15.788952,Wednesday,2,0,1,0,206.82
Remitly,AE-PH,2023-02-08,117.25,15.764071,Wednesday,2,0,1,0,246.59
WorldRemit,AE-PH,2023-02-08,99.7,15.768792,Wednesday,2,0,1,0,224.51
Wise,AE-PH,2023-02-09,84.15,15.859011,Thursday,3,0,1,0,122.92
Remitly,AE-PH,2023-02-09,159.32,15.681141,Thursday,3,0,0,0,368.68
WorldRemit,AE-PH,2023-02-09,106.9,15.754314,Thursday,3,0,1,0,245.61
Wise,AE-PH,2023-02-10,103.89,15.815897,Friday,4,0,1,0,183.66
Remitly,AE-PH,2023-02-10,173.33,15.670446,Friday,4,0,0,0,393.07
WorldRemit,AE-PH,2023-02-10,153.59,15.660123,Friday,4,0,0,0,383.36
Wise,AE-PH,2023-02-11,142.91,15.724508,Saturday,5,0,0,0,310.32
Remitly,AE-PH,2023-02-11,164.72,15.677857,Saturday,5,0,0,0,377.26
WorldRemit,AE-PH,2023-02-11,160.26,15.645417,Saturday,5,0,0,0,404.34
Wise,AE-PH,2023-02-12,148.95,15.725703,Sunday,6,0,0,0,315.21
Remitly,AE-PH,2023-02-12,160.11,15.674721,Sunday,6,0,0,0,375.69
WorldRemit,AE-PH,2023-02-12,161.35,15.637286,Sunday,6,0,0,0,413.36
Wise,AE-PH,2023-02-13,148.53,15.703702,Monday,0,0,0,0,336.03
Remitly,AE-PH,2023-02-13,150.66,15.734006,Monday,0,0,0,0,308.91
WorldRemit,AE-PH,2023-02-13,149.68,15.65706,Monday,0,0,0,0,382.42
Wise,AE-PH,2023-02-14,158.14,15.677702,Tuesday,1,0,0,1,370.82
Remitly,AE-PH,2023-02-14,148.67,15.70306,Tuesday,1,0,0,1,336.79
WorldRemit,AE-PH,2023-02-14,163.7,15.655427,Tuesday,1,0,0,1,398.03
Wise,AE-PH,2023-02-15,146.66,15.718598,Wednesday,2,0,0,1,319.77
Remitly,AE-PH,2023-02-15,168.87,15.665014,Wednesday,2,0,0,1,393.88
WorldRemit,AE-PH,2023-02-15,144.97,15.66515,Wednesday,2,0,0,1,369.85
Wise,AE-PH,2023-02-16,136.15,15.738333,Thursday,3,0,0,1,290.23
Remitly,AE-PH,2023-02-16,179.48,15.64591,Thursday,3,0,0,1,423.08
WorldRemit,AE-PH,2023-02-16,153.72,15.636604,Thursday,3,0,0,1,406.4
Wise,AE-PH,2023-02-17,132.3,15.759672,Friday,4,0,0,0,265.86
Remitly,AE-PH,2023-02-17,163.32,15.685802,Friday,4,0,0,0,368.15
WorldRemit,AE-PH,2023-02-17,149.5,15.660691,Friday,4,0,0,0,378.71
Wise,AE-PH,2023-02-18,145.98,15.731162,Saturday,5,0,0,0,306.97
Remitly,AE-PH,2023-02-18,161.12,15.67735,Saturday,5,0,0,0,374.15
WorldRemit,AE-PH,2023-02-18,164.62,15.63445,Saturday,5,0,0,0,419.39
Wise,AE-PH,2023-02-19,145.96,15.719608,Sunday,6,0,0,0,318.09
Remitly,AE-PH,2023-02-19,152.1,15.697413,Sunday,6,0,0,0,345.69
WorldRemit,AE-PH,2023-02-19,160.55,15.629191,Sunday,6,0,0,0,420.46
Wise,AE-PH,2023-02-20,142.77,15.731657,Monday,0,0,0,0,303.28
Remitly,AE-PH,2023-02-20,143.77,15.71588,Monday,0,0,0,0,319.5
WorldRemit,AE-PH,2023-02-20,153.33,15.660515,Monday,0,0,0,0,382.72
Wise,AE-PH,2023-02-21,141.1,15.729067,Tuesday,1,0,0,0,304.11
Remitly,AE-PH,2023-02-21,142.07,15.746752,Tuesday,1,0,0,0,288.06
WorldRemit,AE-PH,2023-02-21,140.03,15.690593,Tuesday,1,0,0,0,340.22
Wise,AE-PH,2023-02-22,125.6,15.749084,Wednesday,2,0,0,0,269.34
Remitly,AE-PH,2023-02-22,148.78,15.722786,Wednesday,2,0,0,0,317.85
WorldRemit,AE-PH,2023-02-22,126.83,15.715008,Wednesday,2,0,0,0,303.41
Wise,AE-PH,2023-02-23,118.7,15.780945,Thursday,3,0,0,0,231.87
Remitly,AE-PH,2023-02-23,155.22,15.688982,Thursday,3,0,0,0,356.97
WorldRemit,AE-PH,2023-02-23,143.2,15.681172,Thursday,3,0,0,0,352.52
Wise,AE-PH,2023-02-24,129.2,15.748481,Friday,4,0,0,0,273.52
Remitly,AE-PH,2023-02-24,164.72,15.689151,Friday,4,0,0,0,366.31
WorldRemit,AE-PH,2023-02-24,153.34,15.654936,Friday,4,0,0,0,388.15
Wise,AE-PH,2023-02-25,139.85,15.742229,Saturday,5,0,0,0,290.18
Remitly,AE-PH,2023-02-25,162.78,15.676628,Saturday,5,0,0,0,376.51
WorldRemit,AE-PH,2023-02-25,157.58,15.647493,Saturday,5,0,0,0,399.64
Wise,AE-PH,2023-02-26,155.56,15.706367,Sunday,6,0,0,0,340.48
Remitly,AE-PH,2023-02-26,158.03,15.676173,Sunday,6,0,0,0,372.2
WorldRemit,AE-PH,2023-02-26,160.79,15.638908,Sunday,6,0,0,0,411.21
Wise,AE-PH,2023-02-27,151.47,15.711235,Monday,0,0,0,0,331.69
Remitly,AE-PH,2023-02-27,147.6,15.71522,Monday,0,0,0,0,323.97
WorldRemit,AE-PH,2023-02-27,151.21,15.664487,Monday,0,0,0,0,376.73
Wise,AE-PH,2023-02-28,139.78,15.739053,Tuesday,1,0,0,0,293.17
Remitly,AE-PH,2023-02-28,129.61,15.763026,Tuesday,1,0,0,0,259.96
WorldRemit,AE-PH,2023-02-28,139.38,15.689543,Tuesday,1,0,0,0,340.59
Wise,AE-PH,2023-03-01,130.62,15.760478,Wednesday,2,0,0,0,263.41
Remitly,AE-PH,2023-03-01,150.93,15.705562,Wednesday,2,0,0,0,336.63
WorldRemit,AE-PH,2023-03-01,124.39,15.718669,Wednesday,2,0,0,0,297.43
Wise,AE-PH,2023-03-02,107.0,15.797408,Thursday,3,0,0,0,204.41
Remitly,AE-PH,2023-03-02,162.04,15.683084,Thursday,3,0,0,0,369.51
WorldRemit,AE-PH,2023-03-02,142.39,15.695323,Thursday,3,0,0,0,337.99
Wise,AE-PH,2023-03-03,127.97,15.755542,Friday,4,0,0,0,265.5
Remitly,AE-PH,2023-03-03,165.2,15.68158,Friday,4,0,0,0,374.13
WorldRemit,AE-PH,2023-03-03,158.86,15.669309,Friday,4,0,0,0,379.7
Wise,AE-PH,2023-03-04,136.62,15.729699,Saturday,5,0,0,0,299.02
Remitly,AE-PH,2023-03-04,170.01,15.684409,Saturday,5,0,0,0,376.2
WorldRemit,AE-PH,2023-03-04,156.68,15.637553,Saturday,5,0,0,0,408.43
Wise,AE-PH,2023-03-05,144.38,15.702379,Sunday,6,0,0,0,333.17
Remitly,AE-PH,2023-03-05,158.22,15.702121,Sunday,6,0,0,0,347.26
WorldRemit,AE-PH,2023-03-05,163.92,15.655149,Sunday,6,0,0,0,398.52
Wise,AE-PH,2023-03-06,148.46,15.727231,Monday,0,0,0,0,313.24
Remitly,AE-PH,2023-03-06,117.71,15.769082,Monday,0,0,1,0,242.25
WorldRemit,AE-PH,2023-03-06,149.04,15.646502,Monday,0,0,0,0,392.07
Wise,AE-PH,2023-03-07,140.79,15.724693,Tuesday,1,0,0,0,308.02
Remitly,AE-PH,2023-03-07,103.79,15.796369,Tuesday,1,0,1,0,202.2
WorldRemit,AE-PH,2023-03-07,102.1,15.74226,Tuesday,1,0,1,0,252.4
Wise,AE-PH,2023-03-08,92.93,15.809348,Wednesday,2,0,1,0,178.94
Remitly,AE-PH,2023-03-08,117.05,15.768515,Wednesday,2,0,1,0,242.13
WorldRemit,AE-PH,2023-03-08,100.16,15.780296,Wednesday,2,0,1,0,213.95
Wise,AE-PH,2023-03-09,86.04,15.853821,Thursday,3,0,1,0,129.73
Remitly,AE-PH,2023-03-09,159.83,15.675751,Thursday,3,0,0,0,374.41
WorldRemit,AE-PH,2023-03-09,113.77,15.732625,Thursday,3,0,1,0,273.35
Wise,AE-PH,2023-03-10,100.94,15.822132,Friday,4,0,1,0,174.76
Remitly,AE-PH,2023-03-10,169.03,15.683685,Friday,4,0,0,0,375.91
WorldRemit,AE-PH,2023-03-10,151.72,15.673861,Friday,4,0,0,0,368.14
Wise,AE-PH,2023-03-11,136.46,15.720052,Saturday,5,0,0,0,308.17
Remitly,AE-PH,2023-03-11,170.85,15.68927,Saturday,5,0,0,0,372.32
WorldRemit,AE-PH,2023-03-11,163.47,15.646638,Saturday,5,0,0,0,406.36
Wise,AE-PH,2023-03-12,144.54,15.721978,Sunday,6,0,0,0,314.39
Remitly,AE-PH,2023-03-12,164.74,15.708223,Sunday,6,0,0,0,347.87
WorldRemit,AE-PH,2023-03-12,158.16,15.651013,Sunday,6,0,0,0,396.79
Wise,AE-PH,2023-03-13,150.89,15.707638,Monday,0,0,0,0,334.58
Remitly,AE-PH,2023-03-13,146.95,15.716699,Monday,0,0,0,0,321.89
WorldRemit,AE-PH,2023-03-13,154.23,15.658392,Monday,0,0,0,0,385.68
Wise,AE-PH,2023-03-14,160.1,15.691579,Tuesday,1,0,0,1,359.33
Remitly,AE-PH,2023-03-14,153.11,15.699499,Tuesday,1,0,0,1,344.68
WorldRemit,AE-PH,2023-03-14,154.51,15.651546,Tuesday,1,0,0,1,392.62
Wise,AE-PH,2023-03-15,151.91,15.724096,Wednesday,2,0,0,1,319.71
Remitly,AE-PH,2023-03-15,166.82,15.672107,Wednesday,2,0,0,1,384.94
WorldRemit,AE-PH,2023-03-15,141.57,15.667908,Wednesday,2,0,0,1,363.77
Wise,AE-PH,2023-03-16,130.74,15.749145,Thursday,3,0,0,1,274.42
Remitly,AE-PH,2023-03-16,174.03,15.658046,Thursday,3,0,0,1,405.81
WorldRemit,AE-PH,2023-03-16,161.63,15.62713,Thursday,3,0,0,1,423.55
Wise,AE-PH,2023-03-17,133.76,15.749944,Friday,4,0,0,0,276.67
Remitly,AE-PH,2023-03-17,166.8,15.676259,Friday,4,0,0,0,380.89
WorldRemit,AE-PH,2023-03-17,144.48,15.674343,Friday,4,0,0,0,360.43
Wise,AE-PH,2023-03-18,135.17,15.737816,Saturday,5,0,0,0,289.75
Remitly,AE-PH,2023-03-18,166.44,15.679779,Saturday,5,0,0,0,377.11
WorldRemit,AE-PH,2023-03-18,158.04,15.63821,Saturday,5,0,0,0,409.14
Wise,AE-PH,2023-03-19,151.62,15.733045,Sunday,6,0,0,0,310.8
Remitly,AE-PH,2023-03-19,165.14,15.681617,Sunday,6,0,0,0,374.03
WorldRemit,AE-PH,2023-03-19,157.87,15.649137,Sunday,6,0,0,0,398.33
Wise,AE-PH,2023-03-20,143.6,15.714009,Monday,0,0,0,0,321.14
Remitly,AE-PH,2023-03-20,148.26,15.717083,Monday,0,0,0,0,322.83
WorldRemit,AE-PH,2023-03-20,153.66,15.661351,Monday,0,0,0,0,382.23
Wise,AE-PH,2023-03-21,142.35,15.738561,Tuesday,1,0,0,0,296.21
Remitly,AE-PH,2023-03-21,135.25,15.746605,Tuesday,1,0,0,0,281.38
WorldRemit,AE-PH,2023-03-21,144.88,15.699831,Tuesday,1,0,0,0,336.12
Wise,AE-PH,2023-03-22,134.82,15.754949,Wednesday,2,0,0,0,272.92
Remitly,AE-PH,2023-03-22,151.08,15.720995,Wednesday,2,0,0,0,321.88
WorldRemit,AE-PH,2023-03-22,133.0,15.715089,Wednesday,2,0,0,0,309.49
Wise,AE-PH,2023-03-23,114.43,15.790848,Thursday,3,0,0,0,218.12
Remitly,AE-PH,2023-03-23,161.03,15.688923,Thursday,3,0,0,0,362.84
WorldRemit,AE-PH,2023-03-23,142.38,15.686669,Thursday,3,0,0,0,346.38
Wise,AE-PH,2023-03-24,131.96,15.7508,Friday,4,0,0,0,274.05
Remitly,AE-PH,2023-03-24,167.6,15.681726,Friday,4,0,0,0,376.39
WorldRemit,AE-PH,2023-03-24,155.36,15.665315,Friday,4,0,0,0,380.08
Wise,AE-PH,2023-03-25,145.76,15.74139,Saturday,5,0,0,0,296.9
Remitly,AE-PH,2023-03-25,167.34,15.679578,Saturday,5,0,0,0,378.21
WorldRemit,AE-PH,2023-03-25,159.83,15.642037,Saturday,5,0,0,0,407.2
Wise,AE-PH,2023-03-26,145.54,15.708088,Sunday,6,0,0,0,328.8
Remitly,AE-PH,2023-03-26,155.89,15.698943,Sunday,6,0,0,0,348.0
WorldRemit,AE-PH,2023-03-26,156.96,15.643834,Sunday,6,0,0,0,402.58
Wise,AE-PH,2023-03-27,149.04,15.731726,Monday,0,0,0,0,309.48
Remitly,AE-PH,2023-03-27,151.05,15.71142,Monday,0,0,0,0,331.09
WorldRemit,AE-PH,2023-03-27,153.9,15.656617,Monday,0,0,0,0,387.07
Wise,AE-PH,2023-03-28,148.16,15.727954,Tuesday,1,0,0,0,312.24
Remitly,AE-PH,2023-03-28,127.84,15.740012,Tuesday,1,0,0,0,280.3
WorldRemit,AE-PH,2023-03-28,146.62,15.69477,Tuesday,1,0,0,0,342.76
Wise,AE-PH,2023-03-29,145.36,15.712473,Wednesday,2,0,0,1,324.39
Remitly,AE-PH,2023-03-29,161.55,15.677167,Wednesday,2,0,0,1,374.76
WorldRemit,AE-PH,2023-03-29,142.07,15.673032,Wednesday,2,0,0,1,359.29
Wise,AE-PH,2023-03-30,129.96,15.742454,Thursday,3,0,0,1,280.08
Remitly,AE-PH,2023-03-30,174.09,15.654137,Thursday,3,0,0,1,409.68
WorldRemit,AE-PH,2023-03-30,159.66,15.646721,Thursday,3,0,0,1,402.47
Wise,AE-PH,2023-03-31,146.43,15.713415,Friday,4,0,0,1,324.55
Remitly,AE-PH,2023-03-31,186.98,15.632123,Friday,4,0,0,1,444.02
WorldRemit,AE-PH,2023-03-31,166.51,15.632046,Friday,4,0,0,1,423.63
Wise,AE-PH,2023-04-01,140.11,15.745753,Saturday,5,0,0,0,287.06
Remitly,AE-PH,2023-04-01,163.31,15.67772,Saturday,5,0,0,0,375.98
WorldRemit,AE-PH,2023-04-01,161.43,15.632243,Saturday,5,0,0,0,418.36
Wise,AE-PH,2023-04-02,143.31,15.721827,Sunday,6,0,0,0,313.3
Remitly,AE-PH,2023-04-02,161.1,15.698123,Sunday,6,0,0,0,354.0
WorldRemit,AE-PH,2023-04-02,159.44,15.634941,Sunday,6,0,0,0,413.73
Wise,AE-PH,2023-04-03,148.5,15.714226,Monday,0,0,0,0,325.83
Remitly,AE-PH,2023-04-03,117.76,15.767528,Monday,0,0,1,0,243.78
WorldRemit,AE-PH,2023-04-03,151.49,15.658498,Monday,0,0,0,0,382.83
Wise,AE-PH,2023-04-04,135.41,15.724312,Tuesday,1,0,0,0,303.0
Remitly,AE-PH,2023-04-04,98.22,15.816701,Tuesday,1,0,1,0,177.21
WorldRemit,AE-PH,2023-04-04,112.61,15.728533,Tuesday,1,0,1,0,276.13
Wise,AE-PH,2023-04-05,107.8,15.800165,Wednesday,2,0,1,0,202.58
Remitly,AE-PH,2023-04-05,123.66,15.774778,Wednesday,2,0,1,0,242.73
WorldRemit,AE-PH,2023-04-05,97.48,15.775289,Wednesday,2,0,1,0,216.06
Wise,AE-PH,2023-04-06,92.92,15.815879,Thursday,3,1,1,0,172.7
Remitly,AE-PH,2023-04-06,170.19,15.676134,Thursday,3,1,0,0,384.4
WorldRemit,AE-PH,2023-04-06,121.73,15.726429,Thursday,3,1,1,0,287.28
Wise,AE-PH,2023-04-07,115.88,15.781921,Friday,4,1,1,0,228.11
Remitly,AE-PH,2023-04-07,180.32,15.646879,Friday,4,1,0,0,422.97
WorldRemit,AE-PH,2023-04-07,167.93,15.643653,Friday,4,1,0,0,413.73
Wise,AE-PH,2023-04-08,146.75,15.732613,Saturday,5,0,0,0,306.34
Remitly,AE-PH,2023-04-08,163.17,15.674478,Saturday,5,0,0,0,378.99
WorldRemit,AE-PH,2023-04-08,154.12,15.639392,Saturday,5,0,0,0,404.08
Wise,AE-PH,2023-04-09,160.62,15.684028,Sunday,6,1,0,0,367.17
Remitly,AE-PH,2023-04-09,168.96,15.671245,Sunday,6,1,0,0,387.91
WorldRemit,AE-PH,2023-04-09,176.55,15.622362,Sunday,6,1,0,0,443.13
Wise,AE-PH,2023-04-10,141.43,15.715572,Monday,0,0,0,0,317.46
Remitly,AE-PH,2023-04-10,148.61,15.710935,Monday,0,0,0,0,329.12
WorldRemit,AE-PH,2023-04-10,149.97,15.670817,Monday,0,0,0,0,369.34
Wise,AE-PH,2023-04-11,138.19,15.724316,Tuesday,1,0,0,0,305.78
Remitly,AE-PH,2023-04-11,132.76,15.744195,Tuesday,1,0,0,0,281.2
WorldRemit,AE-PH,2023-04-11,137.73,15.679902,Tuesday,1,0,0,0,348.28
Wise,AE-PH,2023-04-12,132.69,15.747441,Wednesday,2,0,0,0,278.0
Remitly,AE-PH,2023-04-12,149.75,15.725186,Wednesday,2,0,0,0,316.5
WorldRemit,AE-PH,2023-04-12,124.11,15.707271,Wednesday,2,0,0,0,308.16
Wise,AE-PH,2023-04-13,118.53,15.785164,Thursday,3,0,0,0,227.66
Remitly,AE-PH,2023-04-13,156.19,15.685678,Thursday,3,0,0,0,361.14
WorldRemit,AE-PH,2023-04-13,131.7,15.679218,Thursday,3,0,0,0,342.92
Wise,AE-PH,2023-04-14,150.03,15.711845,Friday,4,0,0,1,329.67
Remitly,AE-PH,2023-04-14,175.09,15.647078,Friday,4,0,0,1,417.55
WorldRemit,AE-PH,2023-04-14,167.1,15.619244,Friday,4,0,0,1,436.72
Wise,AE-PH,2023-04-15,157.59,15.674342,Saturday,5,0,0,1,373.54
